R,VROT_DATA,VROT_DATA_ERROR
.12362748870714665,2.5,2.2
.17307848422255015,11.2,2.8
.22252947977049858,7.9,3.1
.3214314710012242,15.6,1.2
.37088246670259867,12.9,3.3
.420333462473712,8.8,2.3
.5686864502984719,9.6,1.8
.6181374464415268,12.1,4.8
.6675884427008134,8.9,1.3
.7170394390856306,7,3.5
.7664904356052764,14.1,5
.8159414322690497,18.3,1.4
.8653924290862489,16.2,4
.9148434260661724,14.1,4.5
.9642944232181192,12.1,2.9
1.0137454205513874,20.4,2.3
1.0631964180752753,19.3,1.8
1.1126474157990822,24.3,2.1
1.1620984137321064,25.4,5.8
1.2115494118836458,17.8,6.3
1.2733631598945239,33.5,3.7
1.3475396580030157,30.1,2.7
1.4958926559617318,26.5,1.2
1.5700691558747213,33.6,3.1
1.6442456564519756,45.8,1.9
1.7184221577248766,37.8,5.5
